sex,marriage,nr_dependants,income,income_other,bank_accounts,bank_accounts_sp,assets,age,default,credit_card
2,2,0,1319,0,1,1,0,61,0,0
2,2,0,637.56,0,0,0,0,51,0,0
2,6,3,900,0,0,0,0,36,0,0
1,2,2,399,0,0,0,0,50,0,0
1,2,1,455,0,0,0,0,25,0,0
1,1,0,422,0,1,1,0,84,1,0
1,2,1,1377,611,0,0,50000,55,0,0
1,2,1,379,0,0,0,0,42,0,0
1,2,4,900,0,0,0,0,49,0,0
2,2,1,1500,0,0,0,0,43,0,0
1,1,0,300,0,0,0,0,25,1,0
1,1,0,625,0,0,0,0,44,0,0
1,1,0,1374,0,0,0,0,57,0,0
1,7,1,334,0,0,0,0,38,0,1
1,1,0,1400,0,0,0,0,33,0,0
1,4,0,275.08,0,0,0,0,69,0,0
1,4,1,2204,1450,0,0,20000,48,0,0
2,6,0,600,0,0,0,0,34,0,0
2,1,2,350,0,1,1,0,36,1,0
1,1,1,440,0,0,0,0,49,0,1
1,1,0,600,0,0,0,0,55,0,0
2,1,0,490,0,1,1,0,20,0,0
1,2,0,209,0,0,0,0,37,0,0
1,2,0,246,0,1,1,0,69,0,0
1,1,0,380,0,0,0,0,22,0,0
2,1,1,455,0,0,0,0,20,1,0
2,2,2,2500,0,1,1,100000,38,0,0
1,3,0,350,0,0,0,0,20,1,0
2,4,0,935,0,0,0,0,57,0,0
2,2,0,1847,0,0,0,0,71,0,0
1,2,0,1030,0,1,1,0,38,0,0
1,2,0,200,0,0,0,0,63,0,0
2,2,0,454,0,1,1,0,62,0,0
1,2,0,351,0,0,0,0,63,0,0
1,1,0,394,0,0,0,0,25,0,0
1,1,0,800,0,0,0,0,24,0,0
1,2,0,764,0,0,0,0,40,0,0
2,2,2,671,0,1,1,100000,32,0,0
2,6,2,554,0,0,0,8000,54,0,0
1,1,0,200,0,1,1,0,21,1,0
1,2,1,500,0,0,0,30000,45,0,0
1,2,0,350,0,0,0,0,64,0,0
1,1,0,350,0,0,0,0,21,0,1
1,2,0,350,0,0,0,0,69,0,0
1,2,2,390,0,0,0,0,28,0,0
2,2,1,500,0,1,1,0,26,0,0
1,1,1,466,0,1,1,0,29,1,0
2,2,0,1530.79,0,1,1,0,92,1,1
2,2,0,440,0,0,0,0,56,0,0
1,2,0,500,0,0,0,0,55,1,0
1,6,0,331.76,0,0,0,0,19,0,0
2,1,0,1300,0,0,0,0,27,0,0
1,2,3,395,320,1,1,38000,26,0,0
1,2,0,500,0,1,1,0,56,1,1
1,2,1,475,0,0,0,0,28,0,1
2,2,0,636,0,1,1,0,60,0,0
1,1,0,603,0,1,1,0,29,0,0
1,1,1,800,0,1,1,0,25,0,0
2,2,0,350,0,0,0,0,25,0,0
1,2,0,551,0,1,1,0,48,0,0
1,4,2,662,0,1,1,0,51,0,0
2,1,0,584,0,0,0,0,29,0,0
1,2,0,2400,0,0,0,0,45,1,0
1,1,0,325,0,0,0,0,60,0,0
1,2,5,1000,0,0,0,0,61,1,0
1,1,0,900,0,0,0,0,26,0,1
1,2,0,1606,0,0,0,0,42,0,0
1,2,0,604,0,1,1,0,22,0,0
2,2,2,200,0,0,0,0,39,1,0
1,1,1,372,0,0,0,0,40,1,0
2,1,0,350,0,1,1,25000,50,1,0
2,2,0,350,0,1,1,0,65,1,0
2,2,1,400,0,0,0,0,37,0,0
1,2,0,350,0,0,0,0,44,0,0
1,1,1,344,0,1,1,0,73,0,0
1,2,3,400,0,1,1,0,30,1,0
1,4,0,1240,0,0,0,0,91,1,0
1,2,0,394,0,1,1,0,27,0,1
2,2,0,1276,0,1,1,0,45,1,0
1,6,1,350,0,1,1,0,20,0,0
1,2,0,350,0,0,0,0,42,0,0
2,2,0,630,0,1,1,0,40,1,0
1,2,4,660,0,0,0,0,35,0,0
2,2,3,451,0,0,0,0,26,0,0
2,2,0,1715,0,1,1,0,26,0,0
1,1,0,352,0,0,0,0,76,0,0
1,4,0,350,0,1,1,0,80,1,0
1,1,6,350,0,1,1,0,59,0,0
1,2,1,599,0,0,0,0,31,0,1
1,2,2,300,0,0,0,0,36,0,0
1,2,1,276.62,0,0,0,0,61,0,0
2,2,0,1067,0,0,0,0,33,0,0
1,2,0,382,1000,0,0,0,62,0,0
1,1,0,1079,0,0,0,15000,32,1,0
1,2,2,536,706,1,1,0,36,0,0
1,4,0,359,0,1,1,0,53,0,0
1,2,2,800,250,0,0,0,44,0,1
1,1,0,372,0,0,0,0,32,0,0
1,2,0,350,0,1,1,0,55,0,0
1,1,0,380,0,0,0,0,22,0,0
2,2,0,351,350,1,1,0,58,0,0
1,4,0,350,0,1,1,0,65,1,0
1,2,0,350,0,1,1,0,56,0,0
1,2,0,642,0,1,1,0,45,0,0
2,3,0,350,0,1,1,0,58,0,0
1,2,2,1200,0,0,0,0,37,0,1
2,2,0,631,0,0,0,0,33,0,0
1,2,0,200,0,0,0,0,60,1,0
1,2,0,500,0,1,1,0,54,0,0
2,2,0,600,0,0,0,0,46,0,0
1,1,0,480,0,1,1,0,20,1,1
2,2,2,455.35,0,0,0,0,30,0,0
2,3,0,805,0,0,0,0,60,0,0
2,1,2,1650,0,1,1,0,45,0,1
1,2,0,1600,0,1,1,0,35,0,1
1,3,0,350,0,0,0,0,70,0,0
1,1,0,350,0,0,0,0,66,0,0
2,2,0,1280,0,0,0,0,38,0,1
2,2,2,1283,0,0,0,0,45,0,0
1,7,1,1200,1400,0,0,0,45,0,1
1,2,0,1500,0,0,0,0,39,0,0
1,2,3,700,0,1,1,0,60,0,0
1,2,2,338,0,0,0,0,29,0,0
1,5,5,350,0,0,0,0,52,0,0
2,2,0,588,0,1,1,0,32,0,0
1,1,0,1216.46,0,0,0,0,34,0,1
1,1,0,528,0,0,0,0,29,0,0
1,1,1,686,0,1,1,0,52,0,0
1,2,0,350,0,1,1,0,31,0,0
1,2,0,454,0,0,0,0,26,1,0
2,2,3,1332,0,0,0,0,44,1,1
1,2,2,516,0,1,1,0,36,0,0
2,2,2,368,0,1,1,0,45,0,1
2,2,2,536,0,0,0,0,48,1,0
1,1,2,680,0,0,0,0,36,0,0
2,1,1,1566,0,1,1,0,34,1,0
3,4,0,682,0,1,1,0,59,0,0
1,4,1,422,0,0,0,0,76,1,1
1,2,2,350,0,0,0,0,28,1,0
2,2,0,550,0,1,1,0,29,1,0
1,2,0,832,0,0,0,0,34,0,0
1,2,0,904,0,0,0,0,50,0,0
2,2,0,1220,0,1,1,50000,53,0,1
2,2,0,988,0,0,0,0,50,0,0
2,2,2,315,0,0,0,0,22,0,0
2,2,0,739,0,0,0,0,60,0,0
1,2,0,389,0,0,0,0,40,0,0
1,1,0,350,0,1,1,0,61,0,0
1,2,0,500,0,0,0,0,51,1,0
2,2,0,489,0,0,0,0,32,0,1
1,4,0,95864,0,1,1,0,39,1,0
1,2,0,380,0,0,0,0,30,0,0
1,2,6,1350,0,1,1,0,28,1,0
1,1,0,385,0,0,0,0,29,0,0
1,4,1,351,0,1,1,0,70,0,0
2,2,0,565,0,0,0,0,40,0,0
2,2,6,615,0,1,1,0,43,0,0
1,2,0,500,0,1,1,0,28,1,0
1,2,0,450,0,0,0,0,36,0,0
1,1,0,300,0,0,0,0,28,0,0
1,2,3,700,0,0,0,120000,45,0,0
1,1,0,2350,0,0,0,0,38,0,0
1,1,1,600,0,1,1,0,46,0,1
2,2,0,1823,0,1,1,0,58,0,0
1,2,1,200,0,0,0,0,37,0,0
2,2,3,500,0,1,1,0,46,1,0
2,2,0,350,0,0,0,0,27,1,0
2,2,0,700,0,0,0,0,32,0,1
1,2,0,350,0,1,1,0,65,0,0
1,2,0,597,0,1,1,0,48,0,0
1,1,0,273,0,1,1,0,26,0,0
2,1,0,800,0,1,1,0,27,0,0
1,1,0,850,0,1,1,0,29,1,0
2,7,0,381,0,0,0,0,66,0,0
2,2,0,5000,0,0,0,120000,52,0,0
1,1,1,414,0,1,1,0,44,1,0
1,1,0,894,0,1,1,0,23,1,1
1,3,0,380,0,0,0,0,48,0,0
1,7,1,351,0,0,0,15000,50,1,0
1,4,0,1050,0,0,0,0,77,0,0
1,4,1,350,0,0,0,0,65,0,0
1,1,0,1600,0,0,0,0,34,0,0
1,1,1,1100,0,0,0,0,25,1,0
2,2,0,600,0,1,1,0,60,1,0
1,5,0,700,0,0,0,0,37,1,0
2,2,0,1649,0,1,1,0,49,0,1
2,2,0,1220,0,0,0,10000,23,0,0
1,4,0,381,0,0,0,0,54,0,0
1,2,0,434,0,1,1,0,47,0,0
1,2,0,483,0,1,1,0,40,0,1
2,1,0,1200,0,1,1,0,26,0,0
1,2,0,800,0,0,0,0,51,1,0
1,2,0,502,0,0,0,0,51,0,1
2,2,0,1950,0,1,1,0,55,0,0
1,6,0,409,0,0,0,0,48,0,1
1,1,0,350,0,0,0,0,45,0,0
2,6,0,220.4,0,0,0,0,20,0,0
2,2,6,701,0,1,1,0,47,1,0
1,4,0,450,0,1,1,0,91,1,0
2,1,1,297,0,0,0,0,66,0,0
2,1,0,56363,0,0,0,0,38,1,0
2,1,0,300,0,0,0,0,36,0,0
1,1,2,1053,0,0,0,0,51,0,0
1,4,0,960,0,1,1,0,66,0,0
1,2,0,700,800,0,0,0,68,0,0
1,2,0,380,0,0,0,0,64,0,1
2,0,3,397,0,1,1,0,31,1,0
1,2,0,300,0,0,0,0,33,0,0
1,2,0,220,0,1,1,0,48,0,0
2,1,0,408,0,0,0,0,41,0,0
1,4,1,350,0,0,0,0,50,0,0
1,2,2,380,700,0,0,0,34,1,0
1,1,0,1066,0,0,0,89000,40,0,0
2,2,0,1536,0,1,1,0,39,0,0
1,2,0,350,0,0,0,0,56,0,0
1,1,0,396,0,0,0,0,51,1,1
2,3,0,518,0,0,0,0,61,0,0
2,2,0,400,0,0,0,0,41,0,0
2,2,2,419,0,0,0,0,28,1,0
1,2,2,380,0,0,0,0,41,1,1
1,1,4,600,0,0,0,12000,34,1,0
1,2,0,350,0,1,1,0,37,0,0
1,1,0,398,0,1,1,0,56,0,0
1,1,1,1338,0,0,0,0,52,0,1
2,2,2,1000,1000,1,1,0,33,0,0
1,2,1,960,0,0,0,0,50,1,0
1,1,0,352,0,0,0,0,71,0,0
1,2,2,400,0,0,0,0,45,0,0
1,4,0,350,0,0,0,0,64,0,0
1,4,0,777.8,0,0,0,0,76,0,1
2,2,4,514,0,0,0,40000,31,0,0
1,1,0,394.96,0,0,0,0,18,1,0
1,1,1,585,0,0,0,0,28,1,0
1,2,2,373,0,0,0,0,32,0,1
2,1,0,350,0,0,0,0,44,1,0
1,4,0,277,0,0,0,0,68,0,0
1,2,0,651.45,0,0,0,0,35,0,0
1,2,3,300,0,0,0,0,39,0,0
1,4,0,350,0,0,0,0,66,1,0
2,2,0,543,0,1,1,0,41,0,0
2,2,0,242,0,0,0,0,53,0,0
1,2,0,747,0,0,0,0,27,1,0
1,2,0,350,0,0,0,0,48,0,0
1,1,0,284,0,1,1,0,41,1,0
1,3,0,657,0,1,1,0,40,1,0
2,2,1,1200,0,0,0,0,51,0,0
1,2,2,1487,0,0,0,0,35,1,1
1,2,0,350,0,0,0,0,66,0,0
1,5,1,250,0,0,0,0,45,1,0
1,4,1,351,0,1,1,0,65,1,0
2,2,0,900,0,1,1,0,55,1,1
2,2,0,359,0,0,0,0,24,0,0
2,6,1,380,0,0,0,20000,36,1,0
1,1,0,374,0,0,0,0,56,0,0
1,1,2,700,0,1,1,0,37,0,0
1,2,0,381.05,0,0,0,0,56,0,0
1,2,0,350,0,1,1,0,43,1,1
1,4,0,329,0,0,0,0,48,0,0
2,1,0,309,0,0,0,0,27,0,0
1,2,0,600,0,1,1,0,38,0,0
2,2,0,1971.93,0,0,0,0,71,0,0
2,1,0,455,0,0,0,0,50,0,0
2,2,3,2314,0,1,1,0,47,0,0
1,2,0,1200,0,0,0,0,36,0,0
2,2,0,350,0,0,0,0,59,0,0
1,2,0,400,0,0,0,0,58,0,0
2,2,1,682,0,0,0,0,50,0,0
2,2,2,320,0,0,0,0,48,0,0
2,2,0,1229,0,1,1,0,27,1,0
2,2,0,1000,0,0,0,0,41,1,0
1,1,0,350,0,0,0,0,45,0,0
1,2,0,954,0,0,0,0,57,1,0
1,2,3,374,0,0,0,0,33,0,1
1,2,0,350,0,0,0,0,24,1,0
1,1,2,380,95,1,1,0,32,0,0
1,1,0,424,0,0,0,0,36,1,0
1,2,0,512,0,0,0,0,51,0,0
1,2,1,3564,0,1,1,0,59,0,0
2,2,2,1641,0,1,1,0,38,0,0
1,1,0,1300,0,1,1,0,29,0,0
1,1,0,1756,0,1,1,0,65,0,0
1,1,0,350,0,1,1,0,66,1,0
2,1,1,600,0,1,1,0,31,0,0
2,1,0,580,0,1,1,0,28,0,0
2,2,2,12673,0,1,1,0,59,0,0
1,2,0,1200,0,1,1,0,21,1,1
2,2,0,1164,0,0,0,0,43,0,0
1,1,0,2400,2400,1,1,0,59,0,1
1,2,0,500,0,0,0,0,47,0,0
1,2,0,550,0,0,0,0,28,1,1
1,3,0,815,0,1,1,0,56,0,0
2,2,1,773,0,1,1,0,43,0,0
2,2,7,700,0,1,1,0,38,1,1
1,2,1,736,0,1,1,0,19,0,0
1,2,0,400,0,1,1,0,50,1,0
2,1,0,500,0,1,1,0,19,1,0
1,4,0,308,0,0,0,0,76,0,0
2,2,0,850,0,1,1,0,35,0,1
1,1,0,350,0,0,0,0,21,0,0
2,1,0,654,0,1,1,0,29,1,0
1,1,0,350,0,1,1,0,33,0,1
1,2,0,382,0,0,0,0,27,0,0
1,2,2,448,0,0,0,0,31,0,0
2,2,0,1200,0,0,0,0,57,1,0
2,2,3,4820,0,1,1,0,43,0,0
1,1,1,360,747.31,0,0,0,36,0,0
1,2,0,350,0,0,0,0,35,0,0
1,4,0,415,0,0,0,0,56,0,0
2,2,0,653,0,1,1,0,69,0,0
1,2,0,906,0,1,1,0,53,1,0
1,1,0,664,0,0,0,0,32,0,0
1,1,2,439,0,1,1,0,36,0,1
1,1,0,2811,0,1,1,0,31,1,0
1,1,0,350,0,1,1,0,41,1,0
2,2,2,500,0,1,1,0,41,1,0
1,7,0,3000,0,1,1,0,42,0,0
1,4,0,350,0,1,1,0,58,0,0
2,2,0,421,0,0,0,0,30,0,0
1,2,0,209,0,0,0,0,34,0,0
1,1,0,387,800,0,0,0,19,0,0
2,1,3,2087,0,0,0,0,39,0,0
2,2,0,960,0,1,1,45000,32,0,0
2,2,0,1400,0,1,1,0,52,1,0
1,2,0,660,0,0,0,0,50,0,0
2,2,0,561,0,1,1,0,23,1,0
1,2,2,813,0,1,1,0,36,0,0
2,1,0,375,0,1,1,0,26,0,0
1,1,0,310,0,1,1,0,74,0,1
1,2,0,344,0,1,1,0,26,0,0
2,1,1,800,0,0,0,0,44,0,0
2,2,1,800,0,1,1,0,58,0,0
2,2,1,375,0,0,0,0,35,0,0
1,2,0,286,0,0,0,0,63,0,0
1,1,0,350,0,0,0,0,33,0,0
2,2,1,350,0,1,1,0,27,0,0
2,2,0,1823,2000,1,1,0,77,0,1
1,1,0,372,0,1,1,0,37,1,0
1,4,2,200,0,1,1,0,32,0,0
2,2,0,1000,0,0,0,0,50,1,0
2,1,0,361,361,1,1,0,20,1,0
2,4,0,350,0,1,1,0,74,1,0
1,1,1,458,0,1,1,30000,38,1,0
1,2,0,528,0,0,0,0,33,0,0
1,2,0,350,0,0,0,0,49,0,0
2,2,0,363,0,1,1,0,26,1,0
1,2,0,650,0,1,1,0,54,0,1
1,2,0,401,0,0,0,0,34,0,0
2,2,0,780,830,0,0,50000,58,0,0
1,2,2,300,0,0,0,0,24,1,0
1,4,0,800,350,1,1,0,77,1,0
2,2,0,609,0,0,0,10000,22,0,1
2,2,2,630,0,1,1,0,32,0,0
1,2,2,300,180,0,0,0,41,0,0
2,2,0,350,0,1,1,0,76,0,0
2,4,0,1386,0,0,0,0,58,0,0
2,2,0,874,0,0,0,0,27,0,1
1,2,0,382,0,0,0,0,38,0,1
2,1,0,414,0,1,1,0,35,0,0
1,6,1,350,0,0,0,0,29,0,0
1,2,3,1500,0,1,1,0,45,1,0
1,2,0,350,400,0,0,0,73,0,0
1,2,1,1000,0,1,1,0,30,0,1
1,1,1,380,0,0,0,0,40,0,1
1,2,0,351,0,0,0,45000,63,0,0
1,1,0,500,0,0,0,0,52,0,1
1,1,5,510.21,0,0,0,0,32,0,1
1,2,0,380,0,0,0,0,52,0,0
1,1,2,360,0,0,0,0,40,0,0
2,2,0,900,0,1,1,0,25,0,0
2,6,0,565,0,0,0,0,53,0,0
1,4,0,1511,0,1,1,0,52,1,0
2,2,0,350,0,1,1,0,29,0,0
1,2,3,996,0,0,0,0,31,0,0
1,2,0,350,0,0,0,0,60,0,0
2,2,0,901,0,1,1,0,45,0,1
1,4,0,323.2,0,0,0,0,61,0,0
2,1,2,650,0,0,0,0,52,1,0
2,2,0,1966,0,1,1,50,70,0,1
2,2,1,422.34,0,0,0,0,42,1,0
1,1,3,350,0,0,0,0,72,0,0
2,2,0,273,0,0,0,0,76,0,0
1,2,0,350,0,0,0,0,69,0,0
2,2,0,400,0,1,1,0,75,0,0
2,2,0,902,0,0,0,0,26,1,0
1,2,0,350,0,0,0,0,63,0,0
1,2,0,350,0,1,1,0,51,0,1
2,1,0,830,0,1,1,0,51,0,0
1,2,1,277,0,0,0,0,27,0,0
1,2,0,291,0,0,0,0,35,0,0
1,4,0,1033,0,1,1,0,72,0,0
1,2,0,420,0,0,0,0,56,0,1
2,2,2,5000,0,1,1,0,47,0,0
1,2,0,200,0,1,1,0,24,0,0
1,2,0,268.8,0,0,0,0,71,0,0
1,2,0,400,0,0,0,0,50,0,0
2,2,0,719.53,0,0,0,0,32,1,0
1,2,0,500,0,0,0,0,43,0,0
1,1,0,900,0,1,1,0,65,1,0
1,2,1,380,0,0,0,0,44,0,0
1,2,0,590,0,0,0,0,44,0,1
2,1,0,1522,0,0,0,0,46,0,0
2,2,2,370,0,1,1,0,45,0,1
2,2,2,841,0,0,0,0,31,1,1
1,2,0,2005,0,0,0,0,27,0,0
2,2,0,391.01,0,0,0,0,64,0,0
1,2,0,390,0,1,1,0,23,0,0
1,6,0,412,0,0,0,0,44,0,0
2,2,2,270,0,0,0,0,41,0,0
2,2,1,5317,0,1,1,32000,61,0,0
2,2,0,600,350,0,0,0,37,0,0
1,4,1,986,0,1,1,0,47,0,0
1,1,2,600,0,1,1,0,23,1,0
1,5,0,239,0,0,0,0,31,0,0
2,2,2,1664,0,1,1,0,45,1,0
1,2,0,1100,0,0,0,0,33,0,0
1,2,0,1040,0,0,0,0,49,0,0
1,2,2,500,0,0,0,0,40,0,0
1,3,0,851,0,0,0,0,55,0,0
1,7,1,300,0,1,1,0,54,0,0
2,2,1,403,0,0,0,0,23,0,0
1,2,0,546,0,1,1,0,66,0,0
2,2,0,720,0,0,0,0,41,0,0
2,7,2,307,0,0,0,30000,38,1,0
1,2,1,471,0,1,1,0,27,0,0
2,2,0,390,0,1,1,15000,26,1,0
1,2,0,660,0,1,1,0,29,0,0
2,2,1,996,0,0,0,0,50,0,0
1,1,0,639,0,0,0,0,46,0,0
2,1,0,350,0,0,0,0,24,1,0
1,2,2,466,0,0,0,0,41,0,0
1,2,0,380,0,0,0,0,60,0,0
1,2,0,1207,0,1,1,0,28,0,0
2,4,1,624,0,0,0,0,76,0,0
2,1,1,1200,720,1,1,20000,24,1,0
1,1,0,1000,0,0,0,0,40,0,0
1,2,0,600,0,1,1,0,53,0,0
1,2,0,200,0,0,0,0,51,0,0
2,2,1,664.52,0,0,0,0,34,1,1
1,1,1,689,0,0,0,0,38,0,1
2,2,2,500,0,0,0,0,50,1,1
1,1,0,375,0,0,0,0,23,1,0
2,2,1,400,0,0,0,0,22,1,0
2,2,2,1200,0,1,1,0,45,1,1
1,1,0,485,0,1,1,0,54,0,0
2,1,0,365,0,0,0,0,26,0,0
1,1,0,505,0,0,0,0,23,0,0
1,1,0,350,0,0,0,0,19,0,0
1,2,2,212,0,1,1,0,24,1,0
1,2,0,800,0,1,1,0,39,0,0
1,1,4,350,0,1,1,0,29,0,0
1,2,0,295,0,1,1,0,28,0,0
1,2,0,583,0,1,1,0,56,0,0
2,2,2,1081,0,0,0,40000,41,0,1
1,2,0,1200,0,1,1,0,52,0,0
2,2,1,515,0,1,1,12000,25,0,0
2,2,0,1000,0,1,1,60000,28,1,0
2,2,0,1350,0,1,1,0,51,0,0
1,2,0,478,0,1,1,0,23,0,0
2,1,0,350,0,1,1,0,29,0,0
1,2,0,300,0,1,1,0,35,0,0
1,2,1,552,0,0,0,80000,52,0,0
1,2,1,867,0,1,1,0,26,0,0
2,1,0,350,0,1,1,0,19,1,0
1,4,0,350,0,0,0,0,60,1,0
2,2,0,426,0,0,0,0,21,0,0
2,2,0,665.21,0,0,0,0,36,0,0
1,2,0,430,0,0,0,0,46,0,0
1,2,2,800,0,1,1,0,33,1,0
2,1,0,588,0,0,0,0,41,0,0
2,1,3,350,0,1,1,0,34,1,1
1,2,0,908,0,1,1,0,51,1,0
2,7,0,525.09,0,0,0,0,78,0,0
1,2,1,690,0,1,1,0,39,0,0
1,1,0,412.97,0,0,0,15000,23,0,0
1,6,0,350,0,0,0,0,32,1,0
1,1,0,653.95,0,0,0,0,44,0,0
2,3,0,900,0,1,1,0,53,0,0
1,4,0,350,0,1,1,0,76,1,0
1,2,0,400,0,0,0,0,41,0,0
2,2,0,350,0,1,1,0,60,0,0
2,2,1,1271,0,0,0,0,58,0,0
1,2,0,566,0,0,0,0,52,0,0
2,2,3,2500,0,0,0,0,35,0,0
2,1,0,392,0,1,1,0,45,1,0
1,1,1,2200,0,0,0,0,32,0,1
1,5,0,600,0,0,0,0,55,0,0
2,2,0,450,0,0,0,0,62,0,0
1,2,0,2900,1500,0,0,0,34,0,1
2,2,0,350,0,1,1,0,59,0,1
1,1,0,450,0,0,0,0,29,0,0
1,7,5,560,0,1,1,0,42,1,0
2,2,2,607,0,1,1,0,29,0,1
1,6,1,356,0,0,0,0,42,0,0
1,2,1,1021,0,0,0,0,40,1,1
1,2,6,400,0,0,0,0,30,0,0
1,2,0,770,0,1,1,0,39,0,0
2,6,2,678,0,1,1,0,35,0,0
1,1,0,1092,0,0,0,0,27,0,0
2,2,0,382,0,1,1,0,22,0,0
2,2,1,1208,0,0,0,0,35,0,0
2,2,2,1057,0,0,0,0,46,0,0
2,2,0,785,0,0,0,0,26,0,0
2,2,1,840,0,0,0,0,49,0,0
1,1,0,430,0,0,0,0,28,0,0
1,5,2,680,1000,0,0,0,38,1,0
2,1,0,515,0,0,0,0,52,0,0
1,2,0,950,0,1,1,0,25,0,1
2,2,0,1000,0,0,0,0,42,1,0
1,2,0,349,0,0,0,0,37,1,0
1,6,0,500,0,0,0,0,25,0,1
2,1,1,1100,0,0,0,0,26,1,0
2,2,0,350,0,1,1,0,59,0,0
2,2,1,530,0,1,1,0,71,0,0
2,2,0,600,0,0,0,0,49,0,0
1,1,0,414,0,1,1,0,25,0,1
1,1,0,350,0,0,0,0,26,0,0
2,4,0,1980,0,1,1,0,53,0,0
1,7,1,387,275,1,1,0,48,1,1
2,1,0,975,0,1,1,0,42,1,0
1,4,0,1000,0,0,0,0,51,0,1
2,2,2,844,0,1,1,0,58,0,0
1,1,0,700,0,1,1,0,45,0,0
1,2,0,700,0,0,0,0,54,1,0
1,1,0,360,0,0,0,0,40,1,0
2,2,0,670,0,1,1,0,43,0,0
1,4,0,325,0,0,0,0,71,0,0
1,4,0,278,0,0,0,0,75,0,0
2,1,0,1628,0,0,0,0,57,0,0
1,1,0,373,0,0,0,0,22,1,0
2,1,0,375.89,0,0,0,0,32,0,1
1,2,0,2355,0,1,1,0,84,0,0
1,2,0,350,0,0,0,0,49,0,0
2,2,3,1271,0,0,0,26000,30,1,0
1,2,0,451,0,0,0,0,36,1,0
1,1,0,1000,0,0,0,0,41,0,0
1,2,0,800,0,1,1,0,24,1,0
2,1,0,350,0,0,0,0,25,0,0
1,5,3,570,0,0,0,0,50,0,0
2,2,0,700,0,1,1,0,57,0,1
1,2,3,488,0,0,0,0,53,0,0
2,2,0,456,0,0,0,0,25,0,0
2,2,0,236,0,0,0,0,46,1,1
1,2,0,517,0,0,0,0,60,0,0
2,7,4,350,0,0,0,0,53,1,0
1,2,0,350,0,1,1,0,69,0,0
1,3,1,390,0,0,0,0,51,1,0
1,1,0,391,0,0,0,0,44,0,0
2,2,1,500,0,0,0,0,48,0,1
2,2,2,1310,0,0,0,0,51,0,0
1,1,0,250,0,0,0,0,45,1,1
2,2,1,486,0,0,0,0,27,0,0
1,2,0,351,0,1,1,0,66,0,0
1,1,1,354,0,1,1,0,38,1,0
1,2,0,350,0,1,1,10000,47,0,0
1,1,0,380,0,1,1,0,29,0,1
1,1,0,450,0,1,1,0,23,1,0
1,2,0,500,0,0,0,0,43,0,0
1,6,0,438,0,1,1,0,33,0,0
1,1,0,1142.48,0,0,0,0,56,0,0
1,2,2,1000,0,1,1,0,37,0,0
1,3,0,350,0,1,1,0,59,0,0
1,1,0,370,0,0,0,0,42,0,0
2,2,2,684,0,1,1,0,40,0,0
1,4,1,1317,0,0,0,0,51,0,0
