status,duration,credit_history,purpose,amount,savings,installment_rate,other_debtors,property,age,other_installment_plans,housing,number_credits,job,people_liable,default
0,15,0,5,1053,0,1,3,4,27,2,3,1,2,1,0
3,21,0,5,3160,4,1,3,2,41,2,3,1,2,1,0
3,36,0,6,3079,4,1,3,4,36,2,3,1,2,1,0
3,12,1,6,1163,2,1,3,4,44,2,3,1,2,1,0
3,24,0,2,2679,0,1,3,3,29,2,3,1,1,1,0
3,48,1,5,3578,4,1,3,4,47,2,3,1,2,1,0
3,36,2,6,10875,0,3,3,1,45,2,3,2,2,2,0
0,12,2,6,1344,0,1,3,4,43,2,3,2,4,2,0
3,6,1,5,1237,1,4,3,2,27,2,3,2,2,1,0
3,12,0,5,3077,0,3,3,1,52,2,3,1,2,1,0
3,24,0,5,2284,0,1,3,1,28,2,3,1,2,1,0
1,12,0,5,1567,0,4,3,1,22,2,3,1,2,1,0
3,24,2,6,2032,0,1,3,3,60,2,2,2,2,1,0
1,21,1,3,2745,3,2,3,1,32,2,3,2,2,1,0
3,30,0,5,1867,4,1,3,1,58,2,3,1,2,1,0
3,36,0,5,2299,2,1,3,1,39,2,3,1,2,1,0
3,24,0,3,929,4,1,3,1,31,3,3,1,2,1,0
2,12,0,5,3399,4,3,3,1,37,2,3,1,1,1,0
1,9,0,3,2030,4,3,3,1,24,2,3,1,2,1,0
3,21,1,2,3275,0,4,3,1,36,2,3,1,1,1,0
3,24,1,6,1940,3,1,3,4,60,2,3,1,2,1,0
0,21,1,6,1602,0,1,3,1,30,2,3,2,2,1,0
3,15,0,5,1979,4,1,3,1,35,2,3,1,2,1,0
3,24,1,6,2022,0,1,3,1,37,2,3,1,2,1,0
3,36,1,5,3342,4,1,3,1,51,2,3,1,2,1,0
1,18,0,6,5866,1,3,3,1,30,2,3,2,2,1,0
2,15,1,2,2360,2,3,3,1,36,2,3,1,2,1,0
3,15,1,3,1520,4,1,3,2,63,2,3,1,2,1,0
0,12,0,6,3651,3,4,3,2,31,2,3,1,2,2,0
3,24,1,2,2346,0,1,3,1,35,2,3,2,2,1,0
3,36,2,5,4454,0,1,3,4,34,2,3,2,2,1,0
0,6,1,6,666,3,2,3,4,39,2,3,2,4,1,0
1,24,2,6,1965,4,1,3,1,42,2,1,2,2,1,0
1,12,1,6,1995,1,1,3,1,27,2,3,1,2,1,0
1,30,0,5,2991,4,3,3,1,25,2,3,1,2,1,0
1,30,3,9,4221,0,3,3,1,28,2,3,2,2,1,0
0,9,0,5,1364,0,2,3,4,59,2,3,1,2,1,0
1,18,1,3,6361,0,3,3,3,41,2,3,1,2,1,0
3,27,1,3,4526,3,1,3,4,32,3,3,2,4,2,0
1,12,1,5,3573,0,4,3,4,23,2,3,1,4,1,0
1,36,2,9,4455,0,3,3,4,30,3,3,2,1,1,1
0,9,0,3,2136,0,2,3,4,25,2,3,1,2,1,0
1,42,1,9,5954,0,3,3,4,41,1,3,2,4,1,0
3,24,1,3,3777,3,1,3,4,40,2,3,1,2,1,0
0,15,0,9,806,0,1,3,2,22,2,3,1,4,1,0
1,24,2,9,4712,4,1,3,2,34,1,3,2,1,1,0
1,36,2,6,7432,0,3,3,2,54,2,1,1,2,1,0
3,24,1,5,1851,0,1,2,1,33,2,3,2,2,1,0
3,24,0,6,1393,0,3,2,4,31,2,3,1,2,1,0
3,12,1,9,1412,0,1,2,4,29,2,3,2,1,1,0
3,18,0,5,1473,0,2,3,4,39,2,3,1,2,1,0
3,24,0,5,1533,0,1,3,1,38,3,3,1,2,1,0
3,12,1,8,2012,4,1,3,1,61,2,3,1,2,1,0
0,15,0,6,3959,0,2,3,2,29,2,3,1,2,1,1
0,6,0,3,428,0,3,3,2,49,1,3,1,2,1,0
1,12,1,6,2366,2,2,3,1,36,2,3,1,1,1,0
3,12,0,3,763,0,1,3,4,26,2,3,1,2,1,0
1,21,0,3,3976,4,3,3,1,35,2,3,1,2,1,0
1,18,0,6,6260,0,2,3,4,28,2,1,1,4,1,0
1,9,1,3,1919,0,1,3,1,35,2,1,1,2,1,0
3,24,0,2,2603,3,3,3,1,28,2,1,1,2,1,0
3,9,1,8,936,2,1,3,1,52,2,3,2,2,1,0
3,24,0,3,3062,2,1,3,3,32,2,1,1,2,1,0
1,36,0,5,4795,0,1,3,3,30,2,3,1,1,1,0
3,36,1,2,5842,0,3,3,2,35,2,3,2,2,2,0
1,6,0,5,2063,0,1,3,1,30,2,1,1,1,1,0
3,15,1,5,1459,0,1,3,1,43,2,3,1,4,1,0
3,15,0,5,1213,2,1,3,2,47,3,3,1,2,1,0
3,24,1,5,5103,0,2,3,3,47,2,2,3,2,1,0
3,15,0,7,874,4,1,3,4,24,2,3,1,2,1,0
3,6,0,3,2978,2,4,3,1,32,2,3,1,2,1,0
3,18,0,6,1820,0,3,3,2,30,2,3,1,1,1,0
3,24,1,5,2872,1,2,3,4,36,2,3,1,2,2,0
2,24,0,3,1925,0,3,3,4,26,2,3,1,2,1,0
3,18,0,3,2515,0,2,3,4,43,2,3,1,2,1,0
2,6,0,3,2116,0,3,3,4,41,2,3,1,2,1,0
3,18,0,5,1453,0,2,3,4,26,2,3,1,2,1,0
3,10,0,6,1364,0,3,3,1,64,2,3,1,2,1,0
3,6,0,3,1543,3,1,3,4,33,2,3,1,2,1,0
1,12,0,6,1318,3,1,3,4,54,2,3,1,2,1,0
0,24,4,6,2325,1,3,3,1,32,1,3,1,2,1,0
1,6,1,10,932,4,4,3,2,39,2,3,2,4,1,0
2,24,1,5,3148,4,2,3,1,31,2,3,2,2,1,0
3,36,0,5,3835,4,3,3,4,45,2,3,1,4,1,0
3,9,0,8,3832,4,4,3,4,64,2,3,1,4,1,0
1,24,0,5,5084,4,3,3,1,42,2,3,1,2,1,0
3,9,1,3,2406,0,3,3,1,31,2,3,1,1,1,0
3,36,0,5,2394,4,1,3,1,25,2,3,1,2,1,0
3,21,0,2,2476,4,1,3,4,46,2,3,1,1,1,0
0,24,0,2,2964,4,1,3,3,49,1,2,1,2,2,0
0,12,0,3,1262,4,3,3,2,49,2,3,1,4,1,0
3,12,0,9,1542,0,3,3,1,36,2,3,1,2,1,0
1,24,1,5,1743,0,1,3,2,48,2,3,2,4,1,0
2,12,4,5,409,3,2,3,4,42,2,1,2,2,1,0
3,12,0,5,2171,0,3,3,1,29,1,3,1,2,1,0
3,48,1,2,8858,4,3,3,3,35,2,2,2,2,1,0
1,24,0,6,3512,1,3,3,1,38,1,3,2,2,1,0
1,12,0,5,1158,2,2,3,1,26,2,3,1,2,1,0
3,24,1,5,2684,0,1,3,4,35,2,3,2,4,1,0
0,12,0,5,1498,0,1,3,1,23,1,3,1,2,1,0
3,30,1,5,5954,0,2,1,1,38,2,3,1,2,1,0
1,48,4,9,6416,0,1,3,3,59,2,1,1,2,1,1
1,12,1,3,3617,0,4,3,1,28,2,1,3,2,1,0
3,12,1,5,1291,0,1,3,2,35,2,3,2,2,1,0
2,24,1,9,1275,3,3,3,4,36,2,3,2,2,1,0
3,24,0,3,3972,0,3,3,2,25,2,1,1,2,1,0
3,15,1,3,3343,0,1,3,3,28,2,2,1,2,1,0
2,15,0,8,392,0,1,3,2,23,2,1,1,2,1,0
3,9,1,6,2134,0,1,3,1,48,2,3,3,2,1,0
3,30,1,5,5771,0,1,3,1,25,2,3,2,2,1,0
3,24,1,9,4526,0,2,3,4,74,2,3,1,1,1,0
3,15,1,3,2788,0,3,1,1,24,1,3,2,2,1,0
3,6,1,5,1382,0,4,3,1,28,2,3,2,2,1,0
2,36,0,5,5848,0,1,3,1,24,2,3,1,2,1,0
0,12,0,6,1228,0,1,3,4,24,2,3,1,4,1,1
2,12,0,5,1297,0,2,3,4,23,2,1,1,2,1,0
3,24,0,5,1552,0,2,3,1,32,1,3,1,2,2,0
3,12,0,5,1963,0,1,3,1,31,2,1,2,1,2,0
3,24,0,5,3235,2,2,3,1,36,2,3,1,1,1,0
3,24,1,9,4139,1,2,3,2,27,2,3,2,4,1,0
1,12,1,2,1804,1,2,3,2,44,2,3,1,2,1,0
3,18,0,9,1950,0,1,3,1,34,3,3,2,2,1,0
3,48,2,5,12749,2,1,3,1,37,2,3,1,1,1,0
3,9,0,7,1236,0,4,3,4,23,2,1,1,2,1,0
3,18,1,6,1055,0,1,3,2,30,2,3,2,2,1,0
0,30,3,9,8072,4,3,3,1,25,1,3,3,2,1,0
3,30,1,5,2831,0,1,3,1,33,2,3,1,2,1,0
3,9,0,9,1449,0,2,3,1,27,2,3,2,2,1,0
3,36,0,9,5742,1,3,3,1,31,2,3,2,2,1,0
3,12,0,6,2390,4,1,3,1,50,2,3,1,2,1,0
3,24,0,5,3430,2,2,3,1,31,2,3,1,2,2,0
1,36,0,8,2273,0,2,3,1,32,2,3,2,2,2,0
2,21,0,6,2923,1,4,3,1,28,1,3,1,1,1,0
3,24,0,5,1901,1,1,3,1,29,2,1,1,1,1,0
1,36,0,8,3711,4,3,3,1,27,2,3,1,2,1,0
1,48,0,6,8487,4,4,3,1,24,2,3,1,2,1,0
3,24,0,6,2255,4,1,3,2,54,2,3,1,2,1,0
3,12,0,5,1262,0,2,3,1,25,2,3,1,2,1,0
3,33,1,2,7253,0,2,3,1,35,2,3,2,1,1,0
3,6,1,6,6761,0,4,3,3,45,2,3,2,1,2,0
3,18,1,3,1817,0,1,3,3,28,2,3,2,2,1,0
3,12,0,5,2141,1,2,3,3,35,2,3,1,2,1,0
3,48,4,9,3609,0,4,3,4,27,3,3,1,2,1,0
3,30,0,5,2333,2,1,3,1,30,1,3,1,1,1,0
3,28,4,2,7824,4,2,2,4,40,1,1,2,2,2,0
2,18,4,5,1445,4,1,3,1,49,1,3,1,4,1,0
0,24,0,3,7721,4,4,3,2,30,2,3,1,2,1,0
0,21,0,6,3763,4,3,1,4,24,2,3,1,4,1,0
1,18,0,9,4439,0,4,1,4,33,1,3,1,1,1,0
0,12,0,5,1107,0,3,3,4,20,2,1,1,1,2,0
1,15,0,5,1444,4,1,3,2,23,2,3,1,2,1,0
1,48,4,6,12169,4,1,1,3,36,2,2,1,1,1,0
3,9,0,5,2753,1,2,1,1,35,2,3,1,2,1,0
2,4,0,6,1494,4,4,3,4,29,2,3,1,4,2,0
0,24,4,3,2828,2,1,3,4,22,3,3,1,2,1,0
0,24,4,3,2483,2,1,3,4,22,3,3,1,2,1,0
2,6,1,6,1299,0,4,3,4,74,2,3,3,3,2,0
1,9,0,6,1549,4,1,3,4,35,2,3,1,3,1,0
2,10,0,6,3949,0,4,2,2,37,2,3,1,4,2,0
3,10,0,2,2901,4,4,3,4,31,2,1,1,2,1,0
2,6,0,6,709,3,3,3,4,27,2,3,1,3,1,0
0,47,0,6,10722,0,4,3,4,35,2,3,1,4,1,0
3,10,0,6,1287,4,1,1,2,45,2,3,1,4,1,0
0,18,4,5,1940,0,2,1,3,36,1,2,1,1,1,0
2,30,1,5,3656,4,1,3,2,49,3,3,2,4,1,0
3,24,2,2,4679,0,2,3,1,35,2,3,2,4,1,0
3,27,2,2,8613,3,3,3,1,27,2,3,2,2,1,0
0,18,0,3,2659,3,1,3,1,28,2,3,1,2,1,0
3,24,1,5,1516,3,1,3,4,43,2,3,2,4,1,0
0,18,0,6,4380,1,2,3,1,35,2,3,1,4,2,0
3,14,2,6,802,0,1,3,1,27,2,3,2,4,1,0
3,21,0,9,1572,3,1,3,4,36,1,3,1,4,1,0
1,48,4,9,3566,1,1,3,1,30,2,3,1,2,1,0
3,24,0,5,1278,0,1,3,4,36,2,3,1,1,1,0
3,6,3,5,426,0,1,3,1,39,2,3,1,4,1,0
3,39,0,2,8588,1,1,3,1,45,2,3,1,1,1,0
0,30,0,2,3857,0,1,3,2,40,2,3,1,1,1,0
1,12,0,6,685,0,3,3,1,25,1,3,1,4,1,1
0,24,0,5,1603,0,1,3,1,55,2,3,1,2,1,0
3,21,0,3,2241,0,1,3,4,50,2,3,2,2,1,0
0,24,0,5,2384,0,1,3,4,64,1,1,1,4,1,0
3,4,0,3,601,0,4,3,4,23,2,1,1,4,2,0
3,39,0,2,2569,2,1,3,1,24,2,3,1,2,1,0
3,15,1,5,1316,2,3,3,2,47,2,3,2,4,1,0
3,60,0,6,10366,0,3,3,2,42,2,3,1,1,1,0
3,18,0,9,1568,1,2,3,2,24,2,1,1,4,1,0
3,18,1,5,629,2,1,3,2,32,1,3,2,1,1,0
3,6,4,5,1750,2,3,3,2,45,1,3,1,4,2,0
3,24,0,2,3488,1,2,3,1,23,2,3,1,2,1,0
3,18,1,5,1800,0,1,3,1,24,2,3,2,2,1,0
3,24,2,3,4151,1,3,3,2,35,2,3,2,2,1,0
1,15,0,4,2631,1,2,3,4,25,2,3,1,4,1,0
3,21,0,2,5248,4,4,3,1,26,2,3,1,2,1,0
1,18,2,6,2899,4,1,3,1,43,2,3,1,2,2,0
1,18,2,4,6204,0,3,3,4,44,2,3,1,4,2,0
3,12,0,5,804,0,1,3,1,38,2,3,1,2,1,0
3,36,0,5,3595,0,1,3,1,28,2,3,1,2,1,0
3,36,1,2,5711,3,1,3,1,38,2,3,2,1,1,0
2,15,0,9,2687,0,3,3,2,26,2,1,1,2,1,0
0,15,2,3,3643,0,4,3,2,27,2,3,2,4,1,0
3,10,1,3,2146,0,4,3,4,23,2,1,2,2,1,0
0,10,0,5,2315,0,2,3,4,52,2,3,1,4,1,0
3,5,0,9,3448,0,4,3,4,74,2,3,1,4,1,0
3,15,0,3,2708,0,3,3,2,27,1,3,2,4,1,0
3,11,1,6,1393,0,1,3,1,35,2,3,2,1,1,0
2,10,0,3,1275,0,1,3,2,23,2,3,1,2,1,0
3,9,0,3,1313,0,4,3,1,20,2,3,1,2,1,0
3,12,0,5,1493,0,1,3,1,34,2,3,1,2,2,0
3,22,0,5,2675,2,2,3,1,40,2,3,1,2,1,0
1,9,0,5,2118,0,3,3,4,37,2,3,1,4,2,0
3,36,0,6,909,2,1,3,2,36,2,3,1,2,1,0
3,12,1,3,1258,0,3,3,2,22,2,1,2,4,1,0
3,15,4,5,1569,1,1,3,1,34,1,3,1,4,2,0
3,6,0,2,1236,2,3,3,2,50,2,1,1,2,1,0
3,36,2,3,7678,2,3,3,1,40,2,3,2,2,1,0
3,6,0,4,660,2,3,3,4,23,2,1,1,4,1,0
3,24,0,3,2835,2,2,3,2,53,2,3,1,2,1,0
3,24,0,2,2670,0,1,3,1,35,2,3,1,1,1,0
3,12,4,10,3447,2,1,3,4,35,2,3,1,4,2,0
3,15,0,5,3568,0,1,3,1,54,1,1,1,1,1,0
1,21,1,9,3652,0,3,3,2,27,2,3,2,2,1,0
0,24,0,5,3660,0,3,3,1,28,2,3,1,2,1,0
2,9,0,5,1126,1,3,3,4,49,2,3,1,2,1,0
2,6,2,5,683,0,3,3,2,29,1,3,1,2,1,0
2,12,0,3,2251,0,4,3,1,46,2,3,1,4,1,0
3,12,0,2,4675,4,4,3,1,20,2,1,1,2,1,0
1,21,2,6,2353,0,4,3,2,47,2,3,2,2,1,0
0,21,0,5,3357,3,1,3,1,29,1,3,1,2,1,0
3,6,0,6,672,0,4,3,4,54,2,3,1,3,1,0
0,6,1,5,338,2,1,3,1,52,2,3,2,2,1,0
3,9,0,5,2697,0,4,3,4,32,2,3,1,2,2,0
3,9,0,6,2507,2,3,3,3,51,2,2,1,4,1,0
3,15,2,5,1478,0,1,3,4,33,1,3,2,2,1,0
3,12,1,8,3565,4,3,3,2,37,2,3,2,4,2,0
3,15,0,3,2221,2,3,3,1,20,2,1,1,2,1,0
3,6,1,5,1898,4,4,3,4,34,2,3,2,4,2,0
1,6,2,9,1449,1,4,3,1,31,1,3,2,2,2,0
3,15,2,3,960,3,2,3,2,30,2,3,2,2,1,0
3,36,0,2,8133,0,4,3,2,30,1,3,1,2,1,0
3,9,0,3,2301,1,3,3,2,22,2,1,1,2,1,0
3,6,2,9,1743,1,4,3,4,34,2,3,2,4,1,0
1,12,0,3,983,3,4,3,4,19,2,1,1,4,1,0
3,18,2,5,2320,0,3,3,4,34,2,3,2,2,1,0
0,12,4,10,339,0,1,3,1,45,1,3,1,4,1,0
2,24,0,5,5152,0,1,3,1,25,1,3,1,2,1,0
2,24,0,3,3749,0,3,3,1,26,2,3,1,2,1,0
3,9,1,5,3074,4,4,3,4,33,2,3,2,2,2,0
2,9,0,5,745,0,2,3,4,28,2,3,1,4,1,1
3,24,0,6,1469,1,1,3,4,41,2,1,1,4,1,0
0,6,0,3,1374,0,4,3,4,36,1,3,1,4,1,0
3,6,4,6,783,4,4,2,4,26,3,3,1,4,2,0
0,21,0,5,2606,0,1,3,2,28,2,1,1,1,1,0
3,54,3,2,9436,4,3,3,2,39,2,3,1,4,2,0
3,12,1,5,930,4,1,3,4,65,2,3,4,2,1,0
3,48,1,2,2751,4,1,3,1,38,2,3,2,2,2,0
3,6,1,6,250,3,3,3,4,41,1,3,2,4,1,0
1,24,0,6,1201,0,1,3,2,26,2,3,1,2,1,0
0,6,0,6,662,0,2,3,4,41,2,3,1,4,2,0
3,15,0,2,1300,4,1,3,3,45,1,2,1,2,2,0
3,24,4,9,1559,0,1,3,1,40,1,3,1,2,1,0
2,12,0,5,3016,0,2,3,1,24,2,3,1,2,1,0
3,15,1,5,1360,0,1,3,2,31,2,3,2,2,1,0
3,6,3,6,1204,1,1,3,3,35,1,1,1,2,1,0
3,10,0,6,1597,2,2,3,3,40,2,1,1,4,2,0
3,12,0,5,2073,1,1,1,4,28,2,3,1,2,1,0
3,11,0,9,2142,3,4,3,4,28,2,3,1,2,1,0
0,10,1,3,2132,4,3,1,4,27,2,1,2,2,1,0
3,10,0,6,1546,0,2,3,4,31,2,3,1,4,2,0
3,24,1,6,1287,3,1,3,4,37,2,3,2,2,1,0
3,10,0,6,1418,1,2,3,4,35,2,1,1,4,1,0
2,6,1,6,1343,0,4,3,4,46,2,3,2,2,2,0
3,18,0,6,2662,4,1,3,2,32,2,3,1,2,1,0
3,18,1,5,6070,0,2,3,1,33,2,3,2,2,1,0
3,24,1,8,1927,4,2,3,1,33,2,3,2,2,1,0
3,18,1,5,2404,0,3,3,1,26,2,3,2,2,1,0
3,6,1,5,1554,0,4,3,1,24,2,1,2,2,1,0
3,22,0,6,1283,4,1,3,2,25,2,1,1,2,1,0
3,24,2,6,717,4,1,3,1,54,2,3,2,2,1,0
0,24,0,3,1747,0,1,1,2,24,2,3,1,4,1,0
0,9,1,4,1288,1,2,2,4,48,2,3,2,2,2,0
0,10,1,6,1038,0,1,1,2,49,2,3,2,2,1,0
3,10,0,2,2848,1,4,1,4,32,2,3,1,2,2,0
3,12,0,2,1413,3,2,3,2,55,2,3,1,2,1,0
3,30,1,5,3077,4,2,3,1,40,2,3,2,2,2,0
0,24,4,2,3632,0,4,2,1,22,1,1,1,2,1,0
3,18,1,2,3229,4,3,3,3,38,2,3,1,1,1,0
3,9,0,6,3577,1,4,2,4,26,2,1,1,2,2,0
3,12,1,6,682,1,1,3,1,51,2,3,2,2,1,0
3,10,0,5,1924,0,4,3,2,38,2,3,1,2,1,0
3,10,0,8,727,2,1,3,3,46,2,2,1,2,1,0
2,10,1,6,781,0,1,3,3,63,2,2,2,2,1,0
0,12,1,6,2121,0,1,3,2,30,2,3,2,2,1,0
3,12,1,8,701,0,1,3,1,32,2,3,2,2,1,0
3,10,1,3,2069,4,3,3,1,26,2,3,2,2,1,0
3,24,0,6,1525,3,1,3,1,34,2,3,1,2,2,0
3,48,1,9,7629,4,1,3,1,46,1,3,2,1,2,0
0,12,1,6,3499,0,2,1,4,29,2,3,2,2,1,1
3,6,0,5,1346,1,3,3,3,42,1,2,1,2,2,0
3,36,1,2,10477,4,3,3,3,42,2,2,2,2,1,0
0,24,0,2,2924,0,2,2,3,63,1,3,1,2,2,0
3,10,1,6,1231,0,2,3,4,32,2,3,2,4,2,0
2,18,0,6,1961,0,2,3,1,23,2,3,1,1,1,0
3,15,1,6,5045,4,4,3,1,59,2,3,1,2,1,0
3,12,1,6,1255,0,1,3,4,61,2,3,2,4,1,0
0,12,0,3,1858,0,1,3,1,22,2,1,1,2,1,0
3,6,1,3,1221,4,4,3,2,27,2,3,2,2,1,0
3,9,0,3,1388,0,1,3,4,26,2,1,1,2,1,0
3,12,0,5,2279,4,1,3,3,37,2,2,1,2,1,0
3,12,3,3,2759,0,3,3,2,34,2,3,2,2,1,0
2,24,0,5,1258,2,2,3,1,57,2,3,1,4,1,0
1,12,3,10,1410,0,3,3,4,31,2,3,1,4,1,0
0,15,0,6,1403,0,3,3,1,28,2,1,1,2,1,0
0,24,0,3,3021,0,3,3,4,24,2,1,1,4,1,0
0,24,0,9,6568,0,3,3,1,21,3,3,1,4,1,0
3,24,1,5,2578,3,3,3,1,34,2,3,1,2,1,0
1,24,1,2,7758,3,3,3,3,29,2,1,1,2,1,0
0,6,0,7,343,0,1,3,4,27,2,3,1,2,1,0
3,21,2,3,1591,1,1,3,4,34,2,3,2,1,1,0
0,27,0,5,3416,0,2,3,1,27,2,3,1,1,1,0
0,12,3,4,1108,0,1,3,4,28,2,3,2,2,1,1
1,27,2,2,5965,0,4,3,1,30,2,3,2,1,1,0
1,15,0,4,1514,1,1,2,4,22,2,3,1,2,1,0
3,30,1,5,6742,4,3,3,2,36,2,3,2,2,1,0
0,18,0,3,3650,0,4,3,1,22,2,1,1,2,1,0
0,21,0,3,3599,0,4,3,1,26,2,1,1,4,1,0
3,60,1,6,13756,4,3,3,3,63,1,2,1,1,1,0
1,9,0,6,276,0,1,3,4,22,2,1,1,4,1,0
3,42,1,3,4041,2,1,3,4,36,2,3,2,2,1,0
1,9,0,5,458,0,1,3,4,24,2,3,1,2,1,0
1,9,0,3,918,0,1,3,2,30,2,3,1,2,1,1
3,24,0,6,7393,0,4,3,2,43,2,3,1,4,2,0
2,10,0,7,1225,0,3,3,1,37,2,3,1,2,1,0
0,24,0,2,2812,4,3,3,4,26,2,1,1,2,1,0
3,15,0,2,3029,0,3,3,1,33,2,3,1,2,1,0
2,12,1,6,1480,2,3,3,3,66,1,2,3,3,1,0
2,6,1,8,1047,0,3,3,2,50,2,3,1,4,1,0
3,15,1,5,1471,0,1,3,3,35,2,2,2,2,1,0
3,24,0,3,5511,1,1,3,1,25,3,3,1,2,1,0
1,9,0,5,1206,0,1,3,4,25,2,3,1,2,1,0
1,24,2,5,6403,0,4,3,1,33,2,3,1,2,1,0
3,12,0,5,707,0,1,3,4,30,1,3,2,2,1,0
3,12,2,2,1503,0,1,3,4,41,2,1,1,2,1,0
1,12,0,6,6078,0,3,3,1,32,2,3,1,2,1,0
1,27,0,9,2528,0,1,3,2,32,2,3,1,2,2,0
1,12,0,9,1037,1,2,3,4,39,2,3,1,4,1,0
0,6,0,2,1352,2,4,3,2,23,2,1,1,3,1,0
3,24,0,5,3181,0,1,3,2,26,2,3,1,2,1,0
3,18,0,5,4594,0,2,3,1,32,2,3,1,2,1,0
1,48,0,1,5381,4,2,3,3,40,1,2,1,3,1,0
3,15,0,2,4657,0,2,3,1,30,2,3,1,2,1,0
1,9,0,9,1391,0,3,3,4,27,1,3,1,2,1,0
1,18,0,9,1913,3,2,3,4,36,1,3,1,2,1,0
3,42,0,5,7166,4,3,3,2,29,2,1,1,2,1,0
3,13,0,5,1409,1,3,3,4,64,2,3,1,2,1,0
3,24,2,9,2978,4,1,3,4,32,2,3,2,2,2,0
3,12,1,5,976,4,1,3,1,35,2,3,2,2,1,0
3,24,2,9,2375,2,1,3,1,44,2,3,2,2,2,0
3,12,1,5,522,2,1,3,2,42,2,3,2,2,2,0
3,28,1,5,2743,0,1,3,1,29,2,3,2,2,1,0
3,11,1,5,1154,1,1,3,4,57,2,3,3,4,1,0
3,24,1,2,5804,3,1,3,4,27,2,3,2,2,1,0
3,18,1,5,1169,4,1,3,2,29,2,3,2,2,1,0
0,15,1,3,1478,0,1,3,1,44,2,3,2,2,2,0
3,12,0,5,776,0,1,3,4,28,2,3,1,2,1,0
1,11,1,6,1322,3,1,3,1,40,2,3,2,2,1,0
