Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CarInsurance,CallLengthMin
46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,13,oct,1,327,1,failure,0,1.53333333333333
34,management,single,unknown,0,6013,1,0,cellular,18,may,1,-1,0,unknown,1,10.2
52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,unknown,0,5.15
36,management,divorced,tertiary,0,0,0,0,cellular,28,aug,4,-1,0,unknown,0,1.35
39,entrepreneur,married,secondary,0,11887,0,0,cellular,18,nov,2,-1,0,unknown,1,19.6833333333333
18,student,single,primary,0,608,0,0,cellular,12,aug,1,-1,0,unknown,1,4.45
60,services,married,secondary,0,-46,0,0,unknown,23,may,2,-1,0,unknown,0,2.2
36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,unknown,1,16.7
57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,unknown,1,4.91666666666667
28,blue-collar,single,secondary,0,1955,0,0,cellular,29,jan,1,-1,0,unknown,0,0.416666666666667
30,management,married,tertiary,0,860,1,0,cellular,20,apr,1,-1,0,unknown,0,3.08333333333333
41,blue-collar,married,secondary,0,2689,1,0,cellular,15,apr,1,-1,0,unknown,1,2.25
58,management,married,tertiary,0,3768,1,0,unknown,18,jun,1,-1,0,unknown,0,5.26666666666667
23,housemaid,married,tertiary,0,66,1,0,cellular,7,may,2,-1,0,unknown,1,23.1833333333333
29,admin.,married,secondary,0,494,1,0,unknown,26,may,2,-1,0,unknown,0,5.68333333333333
25,technician,single,secondary,0,1298,0,0,cellular,2,sep,7,94,2,other,0,3.43333333333333
39,blue-collar,married,secondary,0,0,1,0,unknown,29,may,3,-1,0,unknown,0,3.48333333333333
45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,4,-1,0,unknown,0,0.966666666666667
55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,1,183,1,failure,1,2.81666666666667
32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,other,0,3.01666666666667
36,management,married,tertiary,0,722,1,0,unknown,30,may,1,-1,0,unknown,0,5.2
34,management,single,tertiary,0,11350,1,0,cellular,15,may,1,176,1,failure,0,2.55
39,technician,single,secondary,0,556,1,0,unknown,29,may,1,-1,0,unknown,0,5.36666666666667
49,admin.,single,secondary,0,716,1,0,unknown,15,may,3,-1,0,unknown,1,20.95
37,technician,married,tertiary,0,143,0,0,cellular,27,aug,6,-1,0,unknown,0,0.95
47,blue-collar,married,secondary,0,802,1,1,cellular,12,may,2,-1,0,unknown,1,4.81666666666667
49,retired,single,primary,0,25824,0,0,unknown,17,jun,1,-1,0,unknown,0,1.56666666666667
49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,unknown,1,31.95
34,admin.,divorced,secondary,0,0,0,0,cellular,10,jul,1,-1,0,unknown,0,4.46666666666667
40,blue-collar,married,secondary,1,-94,1,1,unknown,7,may,1,-1,0,unknown,0,3.78333333333333
33,services,married,secondary,0,210,1,0,cellular,13,may,2,-1,0,unknown,1,20.1166666666667
40,admin.,single,secondary,0,60,1,0,cellular,15,may,3,352,6,other,0,7.66666666666667
41,entrepreneur,single,secondary,0,663,0,0,cellular,24,jul,1,-1,0,unknown,1,20.0666666666667
56,management,married,tertiary,0,830,1,1,unknown,6,may,1,-1,0,unknown,1,20.0166666666667
33,blue-collar,single,secondary,0,-147,1,0,unknown,30,may,2,-1,0,unknown,0,10.8666666666667
43,blue-collar,divorced,primary,0,6,1,0,unknown,27,may,4,-1,0,unknown,0,1.86666666666667
46,services,divorced,secondary,0,1263,1,0,telephone,21,nov,2,-1,0,unknown,0,3.66666666666667
39,blue-collar,married,secondary,0,293,1,0,unknown,23,may,3,-1,0,unknown,0,2.66666666666667
44,management,married,tertiary,0,446,0,0,cellular,25,jul,12,-1,0,unknown,0,1.05
48,management,divorced,tertiary,0,657,0,1,cellular,29,jan,2,-1,0,unknown,0,4.18333333333333
39,blue-collar,single,tertiary,0,48,0,0,cellular,3,jun,1,-1,0,unknown,1,8.98333333333333
46,blue-collar,married,primary,0,3969,0,0,telephone,7,jul,5,-1,0,unknown,0,0.766666666666667
19,student,single,primary,0,103,0,0,cellular,18,jan,2,95,4,failure,0,2.95
36,management,married,tertiary,0,753,0,0,cellular,16,apr,4,-1,0,unknown,0,1.26666666666667
43,technician,married,secondary,0,3285,1,0,unknown,13,may,2,-1,0,unknown,1,28.6833333333333
46,technician,married,secondary,0,9299,0,0,cellular,19,jul,1,276,2,other,1,19.1333333333333
56,retired,married,primary,0,9367,0,0,cellular,4,may,2,-1,0,unknown,1,10.2833333333333
57,management,married,secondary,0,7162,0,0,cellular,17,nov,1,-1,0,unknown,0,1.38333333333333
33,technician,married,tertiary,0,1699,0,0,cellular,4,aug,1,-1,0,unknown,1,10
41,admin.,married,secondary,0,437,1,0,cellular,2,feb,1,-1,0,unknown,0,2.3
31,management,married,tertiary,0,69,0,0,cellular,20,aug,2,-1,0,unknown,0,3.25
52,management,married,tertiary,0,388,0,0,cellular,25,may,1,-1,0,unknown,1,4.53333333333333
48,blue-collar,single,secondary,0,339,0,1,telephone,14,jul,4,-1,0,unknown,0,2.05
55,blue-collar,married,secondary,0,49,1,0,cellular,7,jul,4,-1,0,unknown,1,8.23333333333333
50,technician,married,secondary,0,3370,0,0,cellular,2,jun,2,-1,0,unknown,1,2.66666666666667
33,blue-collar,single,secondary,0,-366,1,0,unknown,28,may,4,-1,0,unknown,0,1.35
31,management,married,tertiary,0,2667,1,0,cellular,2,mar,2,-1,0,unknown,0,1.21666666666667
33,admin.,married,tertiary,0,899,1,0,unknown,26,may,3,-1,0,unknown,0,2.65
31,management,married,tertiary,0,1331,0,0,cellular,30,apr,1,86,3,success,1,4.95
37,services,married,secondary,0,4151,1,1,cellular,30,jul,4,-1,0,unknown,1,9.05
62,retired,married,secondary,0,569,0,0,cellular,4,feb,5,184,1,success,1,1.56666666666667
33,management,married,tertiary,0,1514,0,0,cellular,10,aug,1,728,2,failure,1,7.45
40,management,married,tertiary,1,0,0,0,cellular,28,jul,5,-1,0,unknown,0,2.75
37,technician,single,tertiary,0,6101,0,0,cellular,6,feb,1,-1,0,unknown,1,2.35
46,management,divorced,tertiary,0,461,0,0,cellular,30,dec,2,-1,0,unknown,1,6.15
64,entrepreneur,married,tertiary,0,2331,0,0,telephone,9,nov,1,-1,0,unknown,1,3.35
43,unemployed,married,primary,0,519,0,0,unknown,20,jun,2,-1,0,unknown,1,16.2166666666667
57,blue-collar,married,primary,0,3109,0,0,cellular,15,sep,2,105,2,success,1,1.78333333333333
58,retired,divorced,primary,0,11,0,1,cellular,10,jul,5,-1,0,unknown,0,2.68333333333333
32,technician,divorced,tertiary,0,53,0,0,cellular,22,aug,2,-1,0,unknown,1,11.1833333333333
43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,2,122,2,other,1,20.9666666666667
30,student,single,tertiary,0,3300,0,0,cellular,21,nov,1,-1,0,unknown,1,26.1833333333333
45,admin.,married,secondary,0,251,1,0,cellular,19,aug,2,-1,0,unknown,0,1.7
56,management,married,tertiary,0,318,0,1,telephone,9,jul,3,-1,0,unknown,0,4.1
44,management,married,unknown,0,2724,0,0,cellular,28,dec,1,-1,0,unknown,1,14.8833333333333
61,management,married,tertiary,0,5157,0,0,cellular,13,mar,1,-1,0,unknown,0,7.2
37,technician,divorced,tertiary,0,1762,1,0,cellular,16,apr,1,317,1,failure,0,5.15
56,retired,married,secondary,0,343,0,1,cellular,9,jul,1,-1,0,unknown,0,1.28333333333333
46,admin.,married,secondary,0,368,0,0,cellular,20,aug,1,90,4,other,1,4.88333333333333
39,management,divorced,tertiary,0,1968,0,0,cellular,21,nov,1,-1,0,unknown,1,10.8
27,services,single,secondary,0,302,0,0,cellular,3,jul,1,-1,0,unknown,1,3.38333333333333
33,blue-collar,single,primary,0,60,1,0,cellular,14,may,1,290,2,failure,0,1.23333333333333
52,technician,married,tertiary,0,0,0,0,cellular,9,aug,3,94,4,success,0,2.41666666666667
45,blue-collar,married,secondary,0,3092,1,1,cellular,12,may,2,-1,0,unknown,0,3
30,unemployed,single,secondary,0,1058,0,0,cellular,4,feb,1,-1,0,unknown,0,8.58333333333333
46,services,married,secondary,0,53,0,1,cellular,28,jul,3,-1,0,unknown,0,0.516666666666667
32,services,single,secondary,0,-402,1,0,cellular,17,apr,1,-1,0,unknown,0,2.25
62,entrepreneur,married,secondary,0,3904,0,0,telephone,29,jan,2,-1,0,unknown,1,6.71666666666667
24,student,single,secondary,0,1123,0,0,cellular,13,jul,1,412,1,other,1,7.91666666666667
47,management,single,tertiary,0,159,0,0,telephone,29,oct,3,155,3,other,1,3.66666666666667
32,blue-collar,single,secondary,0,5,1,1,unknown,8,may,1,-1,0,unknown,0,2.23333333333333
38,blue-collar,married,primary,0,3289,0,0,unknown,9,jun,2,-1,0,unknown,0,9.21666666666667
36,technician,single,tertiary,0,391,1,0,cellular,15,may,1,350,8,failure,0,3.08333333333333
57,management,divorced,unknown,0,854,0,0,cellular,27,aug,4,92,1,failure,1,11.6666666666667
73,retired,divorced,secondary,0,7111,1,0,cellular,12,oct,1,-1,0,unknown,1,2.43333333333333
55,technician,divorced,tertiary,0,0,1,0,unknown,30,may,1,-1,0,unknown,0,3.9
57,blue-collar,married,primary,0,3109,0,0,cellular,2,jun,2,-1,0,unknown,1,8.03333333333333
25,unemployed,single,primary,0,129,0,0,cellular,12,apr,3,-1,0,unknown,1,2.93333333333333
62,retired,married,secondary,0,569,0,0,cellular,4,aug,1,1,8,success,1,4.8
45,technician,married,secondary,0,4466,1,0,unknown,3,jun,1,-1,0,unknown,0,1.83333333333333
56,blue-collar,married,secondary,0,1521,1,1,cellular,21,nov,2,179,3,other,0,0.316666666666667
33,management,single,tertiary,0,8038,1,0,cellular,19,nov,1,-1,0,unknown,0,1
45,blue-collar,single,primary,0,116,0,0,unknown,13,apr,1,-1,0,unknown,1,2.03333333333333
63,blue-collar,married,secondary,0,641,0,0,cellular,27,may,2,-1,0,unknown,1,6.95
57,retired,married,secondary,0,2020,0,0,unknown,19,jun,4,-1,0,unknown,0,1.55
60,retired,married,secondary,0,208,0,0,cellular,20,aug,4,-1,0,unknown,0,1.16666666666667
61,self-employed,divorced,tertiary,0,52587,0,0,cellular,15,feb,3,189,1,success,1,6.56666666666667
56,blue-collar,married,secondary,0,2561,0,0,unknown,20,jun,6,-1,0,unknown,0,0.216666666666667
26,blue-collar,single,secondary,0,82,1,0,unknown,9,may,1,-1,0,unknown,1,10.9
58,unemployed,divorced,secondary,0,729,0,1,cellular,9,feb,2,-1,0,unknown,0,1
46,services,married,secondary,0,273,0,0,cellular,22,aug,2,-1,0,unknown,1,9.41666666666667
28,management,single,secondary,0,2840,0,0,cellular,20,apr,5,-1,0,unknown,1,3.78333333333333
57,technician,married,secondary,0,253,0,1,unknown,3,jul,3,-1,0,unknown,0,3.83333333333333
36,technician,single,secondary,0,2921,0,0,telephone,31,jul,7,-1,0,unknown,0,0.916666666666667
44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,unknown,0,4.95
54,services,divorced,secondary,0,0,0,0,cellular,18,mar,1,290,3,success,1,6.03333333333333
38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,unknown,1,25.9333333333333
34,management,single,tertiary,0,4348,1,0,cellular,28,aug,8,-1,0,unknown,0,6.21666666666667
27,services,single,secondary,0,683,1,0,unknown,9,may,3,-1,0,unknown,0,0.733333333333333
29,self-employed,single,tertiary,0,1579,0,0,cellular,13,oct,1,92,5,success,1,3.16666666666667
31,blue-collar,married,tertiary,0,2827,1,0,unknown,8,may,3,-1,0,unknown,0,3.96666666666667
50,technician,divorced,secondary,0,0,0,0,cellular,29,sep,1,120,2,failure,1,2.65
60,retired,married,tertiary,0,108,0,0,cellular,26,aug,1,-1,0,unknown,1,10.4
32,services,married,secondary,0,243,1,1,unknown,6,may,1,-1,0,unknown,0,2.4
36,services,married,secondary,0,-27,1,1,cellular,7,jul,4,-1,0,unknown,0,2.51666666666667
45,admin.,married,secondary,0,205,0,0,cellular,4,may,1,90,2,success,1,9.2
40,technician,divorced,tertiary,0,0,0,0,unknown,17,jun,1,-1,0,unknown,1,8.7
38,technician,married,secondary,0,497,0,0,unknown,14,apr,1,-1,0,unknown,1,2.88333333333333
30,management,single,tertiary,0,985,1,0,cellular,25,oct,1,94,2,success,1,5.06666666666667
31,management,married,tertiary,0,3739,0,0,cellular,11,aug,3,-1,0,unknown,0,1.95
28,management,single,tertiary,0,6784,0,0,cellular,1,oct,1,115,3,other,1,8.36666666666667
49,blue-collar,divorced,primary,0,-9,1,1,unknown,5,may,1,-1,0,unknown,0,6.48333333333333
34,self-employed,married,tertiary,0,0,0,0,cellular,28,aug,11,-1,0,unknown,1,12.1666666666667
51,blue-collar,divorced,secondary,0,113,0,0,cellular,15,may,3,-1,0,unknown,0,1.18333333333333
35,unemployed,divorced,primary,0,118,0,0,unknown,20,jun,4,-1,0,unknown,0,0.2
41,student,single,secondary,0,595,1,0,unknown,18,sep,1,107,2,success,0,0.366666666666667
49,housemaid,married,primary,0,0,0,0,telephone,9,jul,1,-1,0,unknown,0,1.76666666666667
33,management,single,tertiary,0,3143,0,0,cellular,29,jun,2,-1,0,unknown,1,7.01666666666667
53,admin.,married,secondary,0,53,1,0,cellular,18,may,1,-1,0,unknown,1,6.45
45,management,married,tertiary,0,1447,1,1,cellular,7,jul,2,-1,0,unknown,0,7.68333333333333
36,self-employed,divorced,tertiary,0,6385,1,0,cellular,21,nov,2,-1,0,unknown,0,1.16666666666667
43,management,married,tertiary,0,3186,0,0,cellular,16,nov,1,88,1,failure,1,6.33333333333333
31,blue-collar,married,primary,0,290,1,0,cellular,15,may,1,291,3,failure,0,2.46666666666667
56,blue-collar,married,primary,0,8163,0,0,cellular,14,aug,4,-1,0,unknown,1,20.5166666666667
48,admin.,married,secondary,0,13551,0,0,unknown,11,jun,3,-1,0,unknown,0,1.48333333333333
40,technician,single,tertiary,0,431,0,0,cellular,7,jul,2,-1,0,unknown,1,3
60,admin.,married,secondary,0,711,0,0,cellular,12,aug,4,-1,0,unknown,0,5.91666666666667
45,admin.,married,secondary,0,0,0,0,cellular,14,aug,2,-1,0,unknown,0,1.88333333333333
45,technician,single,unknown,0,7108,1,1,unknown,30,may,3,-1,0,unknown,0,20.2
55,technician,divorced,secondary,1,4,0,0,cellular,28,jan,1,-1,0,unknown,1,17.4666666666667
41,blue-collar,married,primary,0,3658,1,0,cellular,9,apr,1,330,1,failure,0,4.46666666666667
46,management,married,tertiary,0,699,0,0,cellular,30,apr,1,87,1,failure,1,16.1666666666667
41,entrepreneur,married,secondary,0,8491,1,0,cellular,18,nov,1,-1,0,unknown,1,15.4833333333333
51,admin.,married,secondary,0,423,1,1,cellular,16,jul,5,183,2,failure,0,1.4
55,technician,divorced,tertiary,0,0,0,0,cellular,17,nov,2,91,1,success,1,2.23333333333333
34,services,married,secondary,0,790,1,0,cellular,20,apr,2,350,1,failure,0,9.65
40,admin.,married,secondary,0,341,0,0,cellular,31,jul,5,-1,0,unknown,1,19.0333333333333
31,unemployed,single,secondary,0,582,1,0,cellular,5,jun,2,-1,0,unknown,1,9.13333333333333
32,management,single,tertiary,0,623,0,0,cellular,6,jul,3,194,2,failure,1,5.58333333333333
37,services,single,secondary,0,1045,0,0,cellular,4,feb,1,-1,0,unknown,0,5.01666666666667
31,services,married,secondary,0,0,1,0,cellular,29,jan,2,-1,0,unknown,0,3.73333333333333
56,retired,married,tertiary,0,281,0,0,cellular,3,mar,2,-1,0,unknown,1,1.6
26,blue-collar,single,primary,0,-295,1,0,cellular,6,may,1,-1,0,unknown,0,2.3
45,management,married,tertiary,0,160,0,0,cellular,10,nov,2,194,1,success,1,3.03333333333333
32,management,married,secondary,0,134,1,1,cellular,15,may,3,-1,0,unknown,1,8.86666666666667
41,management,married,tertiary,0,472,1,0,cellular,10,jul,1,-1,0,unknown,0,13.05
28,blue-collar,married,secondary,0,-95,1,0,unknown,13,may,1,-1,0,unknown,0,3.33333333333333
42,blue-collar,married,secondary,0,0,1,0,cellular,30,jan,2,-1,0,unknown,0,1.36666666666667
46,technician,married,secondary,0,179,0,1,unknown,18,jun,1,-1,0,unknown,0,2.15
55,retired,divorced,tertiary,0,0,0,0,cellular,18,may,1,370,1,success,1,10.2666666666667
26,student,single,tertiary,0,641,1,0,cellular,15,may,1,368,1,failure,0,0.916666666666667
29,management,single,tertiary,0,3041,1,0,cellular,8,may,3,-1,0,unknown,1,10.1
40,management,divorced,tertiary,0,502,1,0,cellular,3,feb,4,270,3,other,0,4.45
29,management,single,tertiary,0,2531,0,0,cellular,19,aug,1,-1,0,unknown,1,10.5666666666667
33,technician,married,secondary,0,218,1,1,cellular,10,aug,1,161,4,failure,0,2.7
43,technician,single,unknown,0,11115,0,0,cellular,23,oct,1,74,2,success,1,7.93333333333333
31,technician,married,secondary,0,-119,1,0,cellular,18,may,5,-1,0,unknown,0,0.15
27,technician,single,secondary,0,158,0,0,unknown,1,jul,2,-1,0,unknown,1,10.8333333333333
40,entrepreneur,married,tertiary,0,70,0,0,cellular,20,nov,1,-1,0,unknown,0,0.95
58,admin.,married,secondary,0,3735,0,0,cellular,17,nov,2,-1,0,unknown,0,1.51666666666667
41,management,married,tertiary,0,8553,1,0,cellular,12,aug,12,-1,0,unknown,0,5.06666666666667
40,technician,married,secondary,0,84,1,0,cellular,8,aug,3,-1,0,unknown,0,1.98333333333333
41,unknown,single,unknown,0,942,0,0,cellular,27,oct,1,188,1,success,1,2.38333333333333
49,management,married,tertiary,0,68,1,1,unknown,19,may,3,-1,0,unknown,0,2.71666666666667
41,technician,married,secondary,0,459,1,0,unknown,19,may,1,-1,0,unknown,0,1.7
57,technician,married,secondary,0,1070,0,0,unknown,19,jun,1,-1,0,unknown,0,1.21666666666667
59,retired,married,primary,0,3400,1,0,cellular,5,aug,3,-1,0,unknown,1,8.58333333333333
48,blue-collar,married,secondary,0,1730,1,0,cellular,4,feb,1,178,2,failure,1,8.15
46,technician,married,secondary,0,6993,1,0,cellular,17,apr,3,148,1,success,0,5.43333333333333
44,blue-collar,married,unknown,0,1529,1,0,cellular,30,apr,1,-1,0,unknown,1,5.78333333333333
48,management,divorced,tertiary,0,-547,0,0,cellular,21,nov,2,-1,0,unknown,0,4.58333333333333
33,technician,married,secondary,0,168,1,0,unknown,26,may,2,-1,0,unknown,0,3.96666666666667
33,admin.,divorced,tertiary,0,891,0,0,cellular,8,may,2,-1,0,unknown,1,6.63333333333333
37,management,single,tertiary,0,-119,1,0,unknown,11,jun,11,-1,0,unknown,0,6.25
39,blue-collar,married,unknown,0,1181,1,0,cellular,30,jul,2,-1,0,unknown,1,10.8333333333333
39,self-employed,married,tertiary,0,2630,0,0,unknown,12,jun,5,-1,0,unknown,1,10.85
24,unemployed,single,secondary,0,2696,0,0,cellular,7,sep,2,-1,0,unknown,0,1.78333333333333
58,blue-collar,married,primary,0,0,1,0,cellular,31,jul,25,-1,0,unknown,0,0.0833333333333333
46,management,divorced,tertiary,0,-130,1,0,cellular,24,mar,2,-1,0,unknown,1,2.4
39,services,single,secondary,0,-244,1,0,unknown,8,may,2,-1,0,unknown,0,2.53333333333333
36,blue-collar,married,primary,0,711,1,0,unknown,23,may,2,-1,0,unknown,0,2.56666666666667
43,blue-collar,married,secondary,0,184,0,1,cellular,16,jul,11,-1,0,unknown,1,16.9833333333333
35,blue-collar,single,tertiary,0,1830,0,0,cellular,14,oct,2,-1,0,unknown,0,2.76666666666667
48,blue-collar,married,primary,0,649,0,0,unknown,19,jun,2,-1,0,unknown,0,2.26666666666667
48,technician,married,secondary,0,480,0,1,cellular,23,jul,1,-1,0,unknown,0,6.18333333333333
41,blue-collar,married,secondary,1,720,0,1,cellular,24,jul,1,-1,0,unknown,1,10.85
34,admin.,married,secondary,0,-33,1,1,cellular,10,jul,1,-1,0,unknown,1,16.0166666666667
32,entrepreneur,married,tertiary,0,762,0,0,cellular,19,jul,11,-1,0,unknown,1,3.11666666666667
51,admin.,married,secondary,0,1415,1,0,unknown,2,jun,3,-1,0,unknown,0,2.51666666666667
47,self-employed,married,unknown,0,14,1,0,cellular,15,may,1,-1,0,unknown,0,2.36666666666667
44,services,married,secondary,0,742,0,0,telephone,30,jul,5,-1,0,unknown,0,1.28333333333333
66,technician,married,secondary,0,0,0,0,cellular,6,feb,1,-1,0,unknown,1,12.5166666666667
61,blue-collar,married,primary,0,5,0,0,cellular,6,aug,2,94,3,success,1,9.36666666666667
41,blue-collar,married,secondary,0,114,1,0,unknown,2,jun,3,-1,0,unknown,0,1.36666666666667
38,entrepreneur,married,secondary,0,3249,1,0,unknown,2,jun,1,-1,0,unknown,0,6.4
54,housemaid,married,tertiary,0,440,0,0,cellular,19,nov,1,-1,0,unknown,0,1.48333333333333
48,unemployed,divorced,secondary,0,201,0,0,cellular,10,feb,2,92,2,success,1,6.76666666666667
44,management,single,tertiary,0,1090,0,0,cellular,19,jul,4,532,2,other,1,3.4
50,technician,married,secondary,0,-584,0,0,cellular,20,aug,2,-1,0,unknown,0,1.25
55,technician,married,secondary,0,2055,1,0,unknown,16,may,4,-1,0,unknown,0,17.05
34,management,married,tertiary,0,697,0,0,cellular,5,aug,1,-1,0,unknown,0,2.76666666666667
50,housemaid,divorced,primary,0,120,1,0,cellular,21,jul,1,-1,0,unknown,0,1.65
34,blue-collar,married,secondary,1,1,1,0,cellular,9,jul,1,-1,0,unknown,0,6.56666666666667
29,blue-collar,married,secondary,0,76,1,0,cellular,6,feb,3,-1,0,unknown,0,3.3
46,management,married,secondary,1,-333,0,1,cellular,30,jul,2,-1,0,unknown,0,9.95
58,self-employed,divorced,tertiary,0,1382,0,0,unknown,9,jun,1,-1,0,unknown,1,11.6666666666667
33,services,married,secondary,0,804,1,1,unknown,8,may,1,-1,0,unknown,0,4.43333333333333
